Prefix,Country,"Network name",Interval
1809981,"Dominican Republic",Mobile,1/1
1809982,"Dominican Republic",Mobile,1/1
1809983,"Dominican Republic",Mobile,1/1
1809984,"Dominican Republic",Mobile,1/1
1809986,"Dominican Republic",Mobile,1/1
1809988,"Dominican Republic",Mobile,1/1
1809989,"Dominican Republic",Mobile,1/1
180999,"Dominican Republic",Mobile,1/1
1829201,"Dominican Republic",Mobile,1/1
1829202,"Dominican Republic",Mobile,1/1
1829203,"Dominican Republic",Mobile,1/1
1829204,"Dominican Republic",Mobile,1/1
1829205,"Dominican Republic",Mobile,1/1
1829206,"Dominican Republic",Mobile,1/1
1829207,"Dominican Republic",Mobile,1/1
1829208,"Dominican Republic",Mobile,1/1
1829209,"Dominican Republic",Mobile,1/1
1829210,"Dominican Republic",Mobile,1/1
1829212,"Dominican Republic",Mobile,1/1
1829213,"Dominican Republic",Mobile,1/1
1829214,"Dominican Republic",Mobile,1/1
1829215,"Dominican Republic",Mobile,1/1
1829216,"Dominican Republic",Mobile,1/1
1829217,"Dominican Republic",Mobile,1/1
1829218,"Dominican Republic",Mobile,1/1
1829219,"Dominican Republic",Mobile,1/1
1829220,"Dominican Republic",Mobile,1/1
1829221,"Dominican Republic",Mobile,1/1
1829222,"Dominican Republic",Mobile,1/1
1829223,"Dominican Republic",Mobile,1/1
1829224,"Dominican Republic",Mobile,1/1
1829225,"Dominican Republic",Mobile,1/1
1829228,"Dominican Republic",Mobile,1/1
1829230,"Dominican Republic",Mobile,1/1
1829232,"Dominican Republic",Mobile,1/1
1829233,"Dominican Republic",Mobile,1/1
1829246,"Dominican Republic",Mobile,1/1
1829248,"Dominican Republic",Mobile,1/1
1829250,"Dominican Republic",Mobile,1/1
1829252,"Dominican Republic",Mobile,1/1
1829255,"Dominican Republic",Mobile,1/1
1829257,"Dominican Republic",Mobile,1/1
1829258,"Dominican Republic",Mobile,1/1
1829259,"Dominican Republic",Mobile,1/1
182926,"Dominican Republic",Mobile,1/1
182927,"Dominican Republic",Mobile,1/1
182928,"Dominican Republic",Mobile,1/1
182929,"Dominican Republic",Mobile,1/1
1829301,"Dominican Republic",Mobile,1/1
1829302,"Dominican Republic",Mobile,1/1
1829303,"Dominican Republic",Mobile,1/1
1829304,"Dominican Republic",Mobile,1/1
1829305,"Dominican Republic",Mobile,1/1
1829306,"Dominican Republic",Mobile,1/1
1829307,"Dominican Republic",Mobile,1/1
1829308,"Dominican Republic",Mobile,1/1
1829309,"Dominican Republic",Mobile,1/1
1829310,"Dominican Republic",Mobile,1/1
1829312,"Dominican Republic",Mobile,1/1
1829313,"Dominican Republic",Mobile,1/1
1829314,"Dominican Republic",Mobile,1/1
1829315,"Dominican Republic",Mobile,1/1
1829316,"Dominican Republic",Mobile,1/1
1829317,"Dominican Republic",Mobile,1/1
1829318,"Dominican Republic",Mobile,1/1
1829319,"Dominican Republic",Mobile,1/1
182932,"Dominican Republic",Mobile,1/1
182933,"Dominican Republic",Mobile,1/1
182934,"Dominican Republic",Mobile,1/1
182935,"Dominican Republic",Mobile,1/1
182936,"Dominican Republic",Mobile,1/1
1829370,"Dominican Republic",Mobile,1/1
1829371,"Dominican Republic",Mobile,1/1
1829372,"Dominican Republic",Mobile,1/1
1829373,"Dominican Republic",Mobile,1/1
1829374,"Dominican Republic",Mobile,1/1
1829375,"Dominican Republic",Mobile,1/1
1829376,"Dominican Republic",Mobile,1/1
1829377,"Dominican Republic",Mobile,1/1
1829379,"Dominican Republic",Mobile,1/1
182938,"Dominican Republic",Mobile,1/1
182939,"Dominican Republic",Mobile,1/1
1829401,"Dominican Republic",Mobile,1/1
1829402,"Dominican Republic",Mobile,1/1
1829403,"Dominican Republic",Mobile,1/1
1829404,"Dominican Republic",Mobile,1/1
1829405,"Dominican Republic",Mobile,1/1
1829406,"Dominican Republic",Mobile,1/1
1829407,"Dominican Republic",Mobile,1/1
1829408,"Dominican Republic",Mobile,1/1
1829409,"Dominican Republic",Mobile,1/1
1829410,"Dominican Republic",Mobile,1/1
1829412,"Dominican Republic",Mobile,1/1
1829413,"Dominican Republic",Mobile,1/1
1829414,"Dominican Republic",Mobile,1/1
1829415,"Dominican Republic",Mobile,1/1
1829416,"Dominican Republic",Mobile,1/1
1829417,"Dominican Republic",Mobile,1/1
1829418,"Dominican Republic",Mobile,1/1
1829419,"Dominican Republic",Mobile,1/1
182942,"Dominican Republic",Mobile,1/1
1829430,"Dominican Republic",Mobile,1/1
1829431,"Dominican Republic",Mobile,1/1
1829432,"Dominican Republic",Mobile,1/1
1829436,"Dominican Republic",Mobile,1/1
1829437,"Dominican Republic",Mobile,1/1
1829438,"Dominican Republic",Mobile,1/1
1829439,"Dominican Republic",Mobile,1/1
182944,"Dominican Republic",Mobile,1/1
182945,"Dominican Republic",Mobile,1/1
182946,"Dominican Republic",Mobile,1/1
1829470,"Dominican Republic",Mobile,1/1
1829471,"Dominican Republic",Mobile,1/1
1829472,"Dominican Republic",Mobile,1/1
1829474,"Dominican Republic",Mobile,1/1
1829475,"Dominican Republic",Mobile,1/1
1829477,"Dominican Republic",Mobile,1/1
1829478,"Dominican Republic",Mobile,1/1
1829479,"Dominican Republic",Mobile,1/1
182949,"Dominican Republic",Mobile,1/1
1829500,"Dominican Republic",Mobile,1/1
1829502,"Dominican Republic",Mobile,1/1
1829504,"Dominican Republic",Mobile,1/1
1829505,"Dominican Republic",Mobile,1/1
1829506,"Dominican Republic",Mobile,1/1
1829508,"Dominican Republic",Mobile,1/1
1829509,"Dominican Republic",Mobile,1/1
1829510,"Dominican Republic",Mobile,1/1
1829512,"Dominican Republic",Mobile,1/1
1829513,"Dominican Republic",Mobile,1/1
1829514,"Dominican Republic",Mobile,1/1
1829515,"Dominican Republic",Mobile,1/1
1829517,"Dominican Republic",Mobile,1/1
1829518,"Dominican Republic",Mobile,1/1
1829519,"Dominican Republic",Mobile,1/1
182952,"Dominican Republic",Mobile,1/1
1829531,"Dominican Republic",Mobile,1/1
1829532,"Dominican Republic",Mobile,1/1
1829533,"Dominican Republic",Mobile,1/1
1829534,"Dominican Republic",Mobile,1/1
1829536,"Dominican Republic",Mobile,1/1
1829537,"Dominican Republic",Mobile,1/1
1829539,"Dominican Republic",Mobile,1/1
1829540,"Dominican Republic",Mobile,1/1
1829542,"Dominican Republic",Mobile,1/1
1829543,"Dominican Republic",Mobile,1/1
1829546,"Dominican Republic",Mobile,1/1
1829548,"Dominican Republic",Mobile,1/1
1829549,"Dominican Republic",Mobile,1/1
182955,"Dominican Republic",Mobile,1/1
1829560,"Dominican Republic",Mobile,1/1
1829561,"Dominican Republic",Mobile,1/1
1829562,"Dominican Republic",Mobile,1/1
1829563,"Dominican Republic",Mobile,1/1
1829564,"Dominican Republic",Mobile,1/1
1829566,"Dominican Republic",Mobile,1/1
1829568,"Dominican Republic",Mobile,1/1
1829569,"Dominican Republic",Mobile,1/1
1829570,"Dominican Republic",Mobile,1/1
1829571,"Dominican Republic",Mobile,1/1
1829572,"Dominican Republic",Mobile,1/1
1829573,"Dominican Republic",Mobile,1/1
1829574,"Dominican Republic",Mobile,1/1
1829576,"Dominican Republic",Mobile,1/1
1829577,"Dominican Republic",Mobile,1/1
1829578,"Dominican Republic",Mobile,1/1
1829579,"Dominican Republic",Mobile,1/1
1829580,"Dominican Republic",Mobile,1/1
1829584,"Dominican Republic",Mobile,1/1
1829585,"Dominican Republic",Mobile,1/1
1829586,"Dominican Republic",Mobile,1/1
1829587,"Dominican Republic",Mobile,1/1
1829589,"Dominican Republic",Mobile,1/1
1829591,"Dominican Republic",Mobile,1/1
1829592,"Dominican Republic",Mobile,1/1
1829598,"Dominican Republic",Mobile,1/1
1829599,"Dominican Republic",Mobile,1/1
1829601,"Dominican Republic",Mobile,1/1
1829602,"Dominican Republic",Mobile,1/1
1829603,"Dominican Republic",Mobile,1/1
1829604,"Dominican Republic",Mobile,1/1
1829605,"Dominican Republic",Mobile,1/1
1829606,"Dominican Republic",Mobile,1/1
1829610,"Dominican Republic",Mobile,1/1
1829613,"Dominican Republic",Mobile,1/1
1829616,"Dominican Republic",Mobile,1/1
1829618,"Dominican Republic",Mobile,1/1
1829619,"Dominican Republic",Mobile,1/1
1829629,"Dominican Republic",Mobile,1/1
182963,"Dominican Republic",Mobile,1/1
182964,"Dominican Republic",Mobile,1/1
182965,"Dominican Republic",Mobile,1/1
1829660,"Dominican Republic",Mobile,1/1
1829661,"Dominican Republic",Mobile,1/1
1829662,"Dominican Republic",Mobile,1/1
1829663,"Dominican Republic",Mobile,1/1
1829664,"Dominican Republic",Mobile,1/1
1829665,"Dominican Republic",Mobile,1/1
1829667,"Dominican Republic",Mobile,1/1
1829668,"Dominican Republic",Mobile,1/1
1829669,"Dominican Republic",Mobile,1/1
182967,"Dominican Republic",Mobile,1/1
1829680,"Dominican Republic",Mobile,1/1
1829682,"Dominican Republic",Mobile,1/1
1829683,"Dominican Republic",Mobile,1/1
1829684,"Dominican Republic",Mobile,1/1
1829685,"Dominican Republic",Mobile,1/1
1829686,"Dominican Republic",Mobile,1/1
1829689,"Dominican Republic",Mobile,1/1
182969,"Dominican Republic",Mobile,1/1
1829701,"Dominican Republic",Mobile,1/1
1829702,"Dominican Republic",Mobile,1/1
1829703,"Dominican Republic",Mobile,1/1
1829704,"Dominican Republic",Mobile,1/1
1829705,"Dominican Republic",Mobile,1/1
1829706,"Dominican Republic",Mobile,1/1
1829707,"Dominican Republic",Mobile,1/1
1829708,"Dominican Republic",Mobile,1/1
1829709,"Dominican Republic",Mobile,1/1
1829710,"Dominican Republic",Mobile,1/1
1829712,"Dominican Republic",Mobile,1/1
1829713,"Dominican Republic",Mobile,1/1
1829714,"Dominican Republic",Mobile,1/1
1829715,"Dominican Republic",Mobile,1/1
1829716,"Dominican Republic",Mobile,1/1
1829717,"Dominican Republic",Mobile,1/1
1829718,"Dominican Republic",Mobile,1/1
1829719,"Dominican Republic",Mobile,1/1
1829720,"Dominican Republic",Mobile,1/1
1829721,"Dominican Republic",Mobile,1/1
1829722,"Dominican Republic",Mobile,1/1
1829723,"Dominican Republic",Mobile,1/1
1829725,"Dominican Republic",Mobile,1/1
1829726,"Dominican Republic",Mobile,1/1
1829727,"Dominican Republic",Mobile,1/1
1829728,"Dominican Republic",Mobile,1/1
1829729,"Dominican Republic",Mobile,1/1
1829730,"Dominican Republic",Mobile,1/1
1829731,"Dominican Republic",Mobile,1/1
1829740,"Dominican Republic",Mobile,1/1
1829741,"Dominican Republic",Mobile,1/1
1829742,"Dominican Republic",Mobile,1/1
1829743,"Dominican Republic",Mobile,1/1
1829744,"Dominican Republic",Mobile,1/1
1829745,"Dominican Republic",Mobile,1/1
1829747,"Dominican Republic",Mobile,1/1
1829748,"Dominican Republic",Mobile,1/1
1829749,"Dominican Republic",Mobile,1/1
182975,"Dominican Republic",Mobile,1/1
182976,"Dominican Republic",Mobile,1/1
182977,"Dominican Republic",Mobile,1/1
182978,"Dominican Republic",Mobile,1/1
182979,"Dominican Republic",Mobile,1/1
1829801,"Dominican Republic",Mobile,1/1
1829802,"Dominican Republic",Mobile,1/1
1829803,"Dominican Republic",Mobile,1/1
1829804,"Dominican Republic",Mobile,1/1
1829805,"Dominican Republic",Mobile,1/1
1829806,"Dominican Republic",Mobile,1/1
1829807,"Dominican Republic",Mobile,1/1
1829808,"Dominican Republic",Mobile,1/1
1829810,"Dominican Republic",Mobile,1/1
1829812,"Dominican Republic",Mobile,1/1
1829814,"Dominican Republic",Mobile,1/1
1829815,"Dominican Republic",Mobile,1/1
1829816,"Dominican Republic",Mobile,1/1
1829817,"Dominican Republic",Mobile,1/1
1829818,"Dominican Republic",Mobile,1/1
1829819,"Dominican Republic",Mobile,1/1
1829820,"Dominican Republic",Mobile,1/1
1829821,"Dominican Republic",Mobile,1/1
1829826,"Dominican Republic",Mobile,1/1
1829827,"Dominican Republic",Mobile,1/1
1829828,"Dominican Republic",Mobile,1/1
1829830,"Dominican Republic",Mobile,1/1
1829835,"Dominican Republic",Mobile,1/1
1829836,"Dominican Republic",Mobile,1/1
1829837,"Dominican Republic",Mobile,1/1
1829838,"Dominican Republic",Mobile,1/1
1829839,"Dominican Republic",Mobile,1/1
182984,"Dominican Republic",Mobile,1/1
182985,"Dominican Republic",Mobile,1/1
182986,"Dominican Republic",Mobile,1/1
182987,"Dominican Republic",Mobile,1/1
1829880,"Dominican Republic",Mobile,1/1
1829881,"Dominican Republic",Mobile,1/1
1829882,"Dominican Republic",Mobile,1/1
1829883,"Dominican Republic",Mobile,1/1
1829884,"Dominican Republic",Mobile,1/1
1829885,"Dominican Republic",Mobile,1/1
1829886,"Dominican Republic",Mobile,1/1
1829887,"Dominican Republic",Mobile,1/1
1829889,"Dominican Republic",Mobile,1/1
1829890,"Dominican Republic",Mobile,1/1
1829891,"Dominican Republic",Mobile,1/1
1829892,"Dominican Republic",Mobile,1/1
1829894,"Dominican Republic",Mobile,1/1
1829898,"Dominican Republic",Mobile,1/1
1829899,"Dominican Republic",Mobile,1/1
1829901,"Dominican Republic",Mobile,1/1
1829902,"Dominican Republic",Mobile,1/1
1829903,"Dominican Republic",Mobile,1/1
1829904,"Dominican Republic",Mobile,1/1
1829905,"Dominican Republic",Mobile,1/1
1829906,"Dominican Republic",Mobile,1/1
1829907,"Dominican Republic",Mobile,1/1
1829908,"Dominican Republic",Mobile,1/1
1829909,"Dominican Republic",Mobile,1/1
1829910,"Dominican Republic",Mobile,1/1
1829912,"Dominican Republic",Mobile,1/1
1829913,"Dominican Republic",Mobile,1/1
1829914,"Dominican Republic",Mobile,1/1
1829915,"Dominican Republic",Mobile,1/1
1829916,"Dominican Republic",Mobile,1/1
1829917,"Dominican Republic",Mobile,1/1
1829918,"Dominican Republic",Mobile,1/1
1829919,"Dominican Republic",Mobile,1/1
182992,"Dominican Republic",Mobile,1/1
182993,"Dominican Republic",Mobile,1/1
1829940,"Dominican Republic",Mobile,1/1
1829941,"Dominican Republic",Mobile,1/1
1829942,"Dominican Republic",Mobile,1/1
1829943,"Dominican Republic",Mobile,1/1
1829944,"Dominican Republic",Mobile,1/1
1829945,"Dominican Republic",Mobile,1/1
1829957,"Dominican Republic",Mobile,1/1
1829958,"Dominican Republic",Mobile,1/1
1829959,"Dominican Republic",Mobile,1/1
182996,"Dominican Republic",Mobile,1/1
1829970,"Dominican Republic",Mobile,1/1
1829972,"Dominican Republic",Mobile,1/1
1829973,"Dominican Republic",Mobile,1/1
1829974,"Dominican Republic",Mobile,1/1
1829975,"Dominican Republic",Mobile,1/1
1829977,"Dominican Republic",Mobile,1/1
1829978,"Dominican Republic",Mobile,1/1
1829979,"Dominican Republic",Mobile,1/1
182998,"Dominican Republic",Mobile,1/1
1829990,"Dominican Republic",Mobile,1/1
1829991,"Dominican Republic",Mobile,1/1
1829993,"Dominican Republic",Mobile,1/1
1829994,"Dominican Republic",Mobile,1/1
1849201,"Dominican Republic",Mobile,1/1
1849203,"Dominican Republic",Mobile,1/1
1849205,"Dominican Republic",Mobile,1/1
1849206,"Dominican Republic",Mobile,1/1
1849207,"Dominican Republic",Mobile,1/1
1849208,"Dominican Republic",Mobile,1/1
1849209,"Dominican Republic",Mobile,1/1
1849210,"Dominican Republic",Mobile,1/1
1849212,"Dominican Republic",Mobile,1/1
1849213,"Dominican Republic",Mobile,1/1
1849214,"Dominican Republic",Mobile,1/1
1849215,"Dominican Republic",Mobile,1/1
1849216,"Dominican Republic",Mobile,1/1
1849217,"Dominican Republic",Mobile,1/1
1849218,"Dominican Republic",Mobile,1/1
1849219,"Dominican Republic",Mobile,1/1
184922,"Dominican Republic",Mobile,1/1
1849230,"Dominican Republic",Mobile,1/1
1849231,"Dominican Republic",Mobile,1/1
1849232,"Dominican Republic",Mobile,1/1
1849233,"Dominican Republic",Mobile,1/1
1849234,"Dominican Republic",Mobile,1/1
1849235,"Dominican Republic",Mobile,1/1
1849239,"Dominican Republic",Mobile,1/1
184924,"Dominican Republic",Mobile,1/1
184925,"Dominican Republic",Mobile,1/1
184926,"Dominican Republic",Mobile,1/1
184927,"Dominican Republic",Mobile,1/1
1849280,"Dominican Republic",Mobile,1/1
1849281,"Dominican Republic",Mobile,1/1
1849282,"Dominican Republic",Mobile,1/1
1849283,"Dominican Republic",Mobile,1/1
1849284,"Dominican Republic",Mobile,1/1
1849285,"Dominican Republic",Mobile,1/1
1849286,"Dominican Republic",Mobile,1/1
1849287,"Dominican Republic",Mobile,1/1
1849305,"Dominican Republic",Mobile,1/1
1849318,"Dominican Republic",Mobile,1/1
1849330,"Dominican Republic",Mobile,1/1
1849340,"Dominican Republic",Mobile,1/1
1849341,"Dominican Republic",Mobile,1/1
1849342,"Dominican Republic",Mobile,1/1
1849343,"Dominican Republic",Mobile,1/1
1849344,"Dominican Republic",Mobile,1/1
1849350,"Dominican Republic",Mobile,1/1
1849351,"Dominican Republic",Mobile,1/1
1849352,"Dominican Republic",Mobile,1/1
1849353,"Dominican Republic",Mobile,1/1
1849354,"Dominican Republic",Mobile,1/1
1849356,"Dominican Republic",Mobile,1/1
1849357,"Dominican Republic",Mobile,1/1
1849358,"Dominican Republic",Mobile,1/1
1849359,"Dominican Republic",Mobile,1/1
1849360,"Dominican Republic",Mobile,1/1
1849367,"Dominican Republic",Mobile,1/1
184940,"Dominican Republic",Mobile,1/1
1849410,"Dominican Republic",Mobile,1/1
1849416,"Dominican Republic",Mobile,1/1
1849437,"Dominican Republic",Mobile,1/1
184945,"Dominican Republic",Mobile,1/1
1849484,"Dominican Republic",Mobile,1/1
1849542,"Dominican Republic",Mobile,1/1
1849569,"Dominican Republic",Mobile,1/1
1849573,"Dominican Republic",Mobile,1/1
1849587,"Dominican Republic",Mobile,1/1
1849590,"Dominican Republic",Mobile,1/1
1849607,"Dominican Republic",Mobile,1/1
184962,"Dominican Republic",Mobile,1/1
184963,"Dominican Republic",Mobile,1/1
1849642,"Dominican Republic",Mobile,1/1
1849650,"Dominican Republic",Mobile,1/1
1849651,"Dominican Republic",Mobile,1/1
1849652,"Dominican Republic",Mobile,1/1
1849653,"Dominican Republic",Mobile,1/1
1849654,"Dominican Republic",Mobile,1/1
1849655,"Dominican Republic",Mobile,1/1
1849656,"Dominican Republic",Mobile,1/1
1849657,"Dominican Republic",Mobile,1/1
1849658,"Dominican Republic",Mobile,1/1
1849701,"Dominican Republic",Mobile,1/1
1849707,"Dominican Republic",Mobile,1/1
1849710,"Dominican Republic",Mobile,1/1
1849711,"Dominican Republic",Mobile,1/1
1849720,"Dominican Republic",Mobile,1/1
1849727,"Dominican Republic",Mobile,1/1
1849739,"Dominican Republic",Mobile,1/1
1849750,"Dominican Republic",Mobile,1/1
1849751,"Dominican Republic",Mobile,1/1
1849752,"Dominican Republic",Mobile,1/1
1849753,"Dominican Republic",Mobile,1/1
1849754,"Dominican Republic",Mobile,1/1
1849763,"Dominican Republic",Mobile,1/1
1849785,"Dominican Republic",Mobile,1/1
1849797,"Dominican Republic",Mobile,1/1
1849802,"Dominican Republic",Mobile,1/1
1849803,"Dominican Republic",Mobile,1/1
1849804,"Dominican Republic",Mobile,1/1
1849806,"Dominican Republic",Mobile,1/1
1849814,"Dominican Republic",Mobile,1/1
1849815,"Dominican Republic",Mobile,1/1
1849816,"Dominican Republic",Mobile,1/1
1849817,"Dominican Republic",Mobile,1/1
1849828,"Dominican Republic",Mobile,1/1
1849845,"Dominican Republic",Mobile,1/1
1849846,"Dominican Republic",Mobile,1/1
1849847,"Dominican Republic",Mobile,1/1
1849848,"Dominican Republic",Mobile,1/1
184985,"Dominican Republic",Mobile,1/1
1849860,"Dominican Republic",Mobile,1/1
1849861,"Dominican Republic",Mobile,1/1
1849862,"Dominican Republic",Mobile,1/1
1849863,"Dominican Republic",Mobile,1/1
1849864,"Dominican Republic",Mobile,1/1
1849865,"Dominican Republic",Mobile,1/1
1849867,"Dominican Republic",Mobile,1/1
1849868,"Dominican Republic",Mobile,1/1
1849869,"Dominican Republic",Mobile,1/1
1849873,"Dominican Republic",Mobile,1/1
1849874,"Dominican Republic",Mobile,1/1
1849875,"Dominican Republic",Mobile,1/1
1849876,"Dominican Republic",Mobile,1/1
1849878,"Dominican Republic",Mobile,1/1
1849879,"Dominican Republic",Mobile,1/1
1849880,"Dominican Republic",Mobile,1/1
1849881,"Dominican Republic",Mobile,1/1
1849882,"Dominican Republic",Mobile,1/1
1849883,"Dominican Republic",Mobile,1/1
1849884,"Dominican Republic",Mobile,1/1
1849885,"Dominican Republic",Mobile,1/1
1849886,"Dominican Republic",Mobile,1/1
1849889,"Dominican Republic",Mobile,1/1
1849912,"Dominican Republic",Mobile,1/1
1849913,"Dominican Republic",Mobile,1/1
1849914,"Dominican Republic",Mobile,1/1
1849915,"Dominican Republic",Mobile,1/1
1849916,"Dominican Republic",Mobile,1/1
1849917,"Dominican Republic",Mobile,1/1
1849918,"Dominican Republic",Mobile,1/1
1849919,"Dominican Republic",Mobile,1/1
1849925,"Dominican Republic",Mobile,1/1
1849993,"Dominican Republic",Mobile,1/1
1809,"Dominican Republic",Other,1/1
1829,"Dominican Republic",Other,1/1
1849,"Dominican Republic",Other,1/1
18098594,"Dominican Republic","Santo Domingo",1/1
18098596,"Dominican Republic","Santo Domingo",1/1
180985998,"Dominican Republic","Santo Domingo",1/1
180985999,"Dominican Republic","Santo Domingo",1/1
18291,"Dominican Republic","Santo Domingo",1/1
1829495,"Dominican Republic","Santo Domingo",1/1
1829501,"Dominican Republic","Santo Domingo",1/1
1829507,"Dominican Republic","Santo Domingo",1/1
670,"East Timor","All Country",1/1
5939820,Ecuador,"Alegro Mobile",1/1
5939821,Ecuador,"Alegro Mobile",1/1
5939822,Ecuador,"Alegro Mobile",1/1
5939823,Ecuador,"Alegro Mobile",1/1
5939824,Ecuador,"Alegro Mobile",1/1
593996,Ecuador,"Alegro Mobile",1/1
59327001,Ecuador,Etapa,1/1
59327002,Ecuador,Etapa,1/1
593270030,Ecuador,Etapa,1/1
593270031,Ecuador,Etapa,1/1
593270032,Ecuador,Etapa,1/1
593270033,Ecuador,Etapa,1/1
593270034,Ecuador,Etapa,1/1
593270035,Ecuador,Etapa,1/1
593270900,Ecuador,Etapa,1/1
593270901,Ecuador,Etapa,1/1
593270902,Ecuador,Etapa,1/1
593370000,Ecuador,Etapa,1/1
593370950,Ecuador,Etapa,1/1
593370951,Ecuador,Etapa,1/1
59347040,Ecuador,Etapa,1/1
59347041,Ecuador,Etapa,1/1
59347042,Ecuador,Etapa,1/1
59347043,Ecuador,Etapa,1/1
593470440,Ecuador,Etapa,1/1
593470441,Ecuador,Etapa,1/1
59357000,Ecuador,Etapa,1/1
593670000,Ecuador,Etapa,1/1
59372000,Ecuador,Etapa,1/1
59372050,Ecuador,Etapa,1/1
59372051,Ecuador,Etapa,1/1
593723200,Ecuador,Etapa,1/1
593723201,Ecuador,Etapa,1/1
593723202,Ecuador,Etapa,1/1
593723203,Ecuador,Etapa,1/1
593723204,Ecuador,Etapa,1/1
593723205,Ecuador,Etapa,1/1
593723206,Ecuador,Etapa,1/1
593723207,Ecuador,Etapa,1/1
593723300,Ecuador,Etapa,1/1
593723301,Ecuador,Etapa,1/1
593723302,Ecuador,Etapa,1/1
593723303,Ecuador,Etapa,1/1
593723304,Ecuador,Etapa,1/1
593723305,Ecuador,Etapa,1/1
59372340,Ecuador,Etapa,1/1
59372341,Ecuador,Etapa,1/1
593723420,Ecuador,Etapa,1/1
593723421,Ecuador,Etapa,1/1
593723500,Ecuador,Etapa,1/1
593723501,Ecuador,Etapa,1/1
593723502,Ecuador,Etapa,1/1
593723503,Ecuador,Etapa,1/1
593723504,Ecuador,Etapa,1/1
593723505,Ecuador,Etapa,1/1
593723600,Ecuador,Etapa,1/1
593723601,Ecuador,Etapa,1/1
593723602,Ecuador,Etapa,1/1
593723650,Ecuador,Etapa,1/1
593723651,Ecuador,Etapa,1/1
593723652,Ecuador,Etapa,1/1
593723653,Ecuador,Etapa,1/1
593723654,Ecuador,Etapa,1/1
593723655,Ecuador,Etapa,1/1
593723656,Ecuador,Etapa,1/1
593723657,Ecuador,Etapa,1/1
593723658,Ecuador,Etapa,1/1
593723700,Ecuador,Etapa,1/1
593723701,Ecuador,Etapa,1/1
593723702,Ecuador,Etapa,1/1
593723703,Ecuador,Etapa,1/1
593723704,Ecuador,Etapa,1/1
593723705,Ecuador,Etapa,1/1
59372375,Ecuador,Etapa,1/1
59372376,Ecuador,Etapa,1/1
59372377,Ecuador,Etapa,1/1
59372385,Ecuador,Etapa,1/1
59372386,Ecuador,Etapa,1/1
593723870,Ecuador,Etapa,1/1
593723871,Ecuador,Etapa,1/1
593723872,Ecuador,Etapa,1/1
593723873,Ecuador,Etapa,1/1
593723874,Ecuador,Etapa,1/1
593723875,Ecuador,Etapa,1/1
593723876,Ecuador,Etapa,1/1
593723877,Ecuador,Etapa,1/1
593723900,Ecuador,Etapa,1/1
593723901,Ecuador,Etapa,1/1
593723902,Ecuador,Etapa,1/1
593723903,Ecuador,Etapa,1/1
593723904,Ecuador,Etapa,1/1
593723905,Ecuador,Etapa,1/1
593724000,Ecuador,Etapa,1/1
593724001,Ecuador,Etapa,1/1
593724002,Ecuador,Etapa,1/1
593724003,Ecuador,Etapa,1/1
593724004,Ecuador,Etapa,1/1
593724005,Ecuador,Etapa,1/1
593724006,Ecuador,Etapa,1/1
593724007,Ecuador,Etapa,1/1
593724400,Ecuador,Etapa,1/1
593724401,Ecuador,Etapa,1/1
593724402,Ecuador,Etapa,1/1
593724403,Ecuador,Etapa,1/1
593724404,Ecuador,Etapa,1/1
593724405,Ecuador,Etapa,1/1
593724406,Ecuador,Etapa,1/1
593724407,Ecuador,Etapa,1/1
5937245,Ecuador,Etapa,1/1
59372460,Ecuador,Etapa,1/1
593724610,Ecuador,Etapa,1/1
593724611,Ecuador,Etapa,1/1
593724700,Ecuador,Etapa,1/1
593724701,Ecuador,Etapa,1/1
593724702,Ecuador,Etapa,1/1
593724703,Ecuador,Etapa,1/1
593724704,Ecuador,Etapa,1/1
59372475,Ecuador,Etapa,1/1
59372476,Ecuador,Etapa,1/1
593724770,Ecuador,Etapa,1/1
593724771,Ecuador,Etapa,1/1
593724772,Ecuador,Etapa,1/1
593724773,Ecuador,Etapa,1/1
593724774,Ecuador,Etapa,1/1
593724775,Ecuador,Etapa,1/1
593724776,Ecuador,Etapa,1/1
59372480,Ecuador,Etapa,1/1
593724810,Ecuador,Etapa,1/1
593724811,Ecuador,Etapa,1/1
593724812,Ecuador,Etapa,1/1
593724813,Ecuador,Etapa,1/1
593724814,Ecuador,Etapa,1/1
593724815,Ecuador,Etapa,1/1
593724816,Ecuador,Etapa,1/1
593724817,Ecuador,Etapa,1/1
593724818,Ecuador,Etapa,1/1
593724850,Ecuador,Etapa,1/1
593724851,Ecuador,Etapa,1/1
593724852,Ecuador,Etapa,1/1
593724853,Ecuador,Etapa,1/1
593724854,Ecuador,Etapa,1/1
593724855,Ecuador,Etapa,1/1
593724856,Ecuador,Etapa,1/1
593724857,Ecuador,Etapa,1/1
593724900,Ecuador,Etapa,1/1
593724901,Ecuador,Etapa,1/1
593724902,Ecuador,Etapa,1/1
593724903,Ecuador,Etapa,1/1
593724904,Ecuador,Etapa,1/1
593724905,Ecuador,Etapa,1/1
593724906,Ecuador,Etapa,1/1
5937280,Ecuador,Etapa,1/1
5937281,Ecuador,Etapa,1/1
5937282,Ecuador,Etapa,1/1
5937283,Ecuador,Etapa,1/1
5937284,Ecuador,Etapa,1/1
59372850,Ecuador,Etapa,1/1
593728510,Ecuador,Etapa,1/1
593728511,Ecuador,Etapa,1/1
593728512,Ecuador,Etapa,1/1
593728513,Ecuador,Etapa,1/1
593728514,Ecuador,Etapa,1/1
593728515,Ecuador,Etapa,1/1
